Kind,Name,CountLineCode,SumCyclomatic
Public Static Method,"org.apache.commons.collections.BagUtils.synchronizedBag",3,1
Public Static Method,"org.apache.commons.collections.BagUtils.synchronizedSortedBag",3,1
Public Static Method,"org.apache.commons.collections.BagUtils.transformedBag",3,1
Public Static Method,"org.apache.commons.collections.BagUtils.transformedSortedBag",3,1
Public Static Method,"org.apache.commons.collections.BagUtils.typedBag",3,1
Public Static Method,"org.apache.commons.collections.BagUtils.typedSortedBag",3,1
Public Static Method,"org.apache.commons.collections.BagUtils.unmodifiableBag",3,1
Public Static Method,"org.apache.commons.collections.BagUtils.unmodifiableSortedBag",3,1
Public Class,"org.apache.commons.collections.BeanMap",375,67
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_1)",5,1
Public Method,"org.apache.commons.collections.BeanMap.(Anon_1).transform",3,1
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_2)",5,1
Public Method,"org.apache.commons.collections.BeanMap.(Anon_2).transform",3,1
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_3)",5,1
Public Method,"org.apache.commons.collections.BeanMap.(Anon_3).transform",3,1
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_4)",5,1
Public Method,"org.apache.commons.collections.BeanMap.(Anon_4).transform",3,1
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_5)",5,1
Public Method,"org.apache.commons.collections.BeanMap.(Anon_5).transform",3,1
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_6)",5,1
Public Method,"org.apache.commons.collections.BeanMap.(Anon_6).transform",3,1
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_7)",5,1
Public Method,"org.apache.commons.collections.BeanMap.(Anon_7).transform",3,1
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_8)",5,1
Public Method,"org.apache.commons.collections.BeanMap.(Anon_8).transform",3,1
Public Constructor,"org.apache.commons.collections.BeanMap.BeanMap",2,1
Public Constructor,"org.apache.commons.collections.BeanMap.BeanMap",4,1
Protected Static Class,"org.apache.commons.collections.BeanMap.MyMapEntry",15,2
Protected Constructor,"org.apache.commons.collections.BeanMap.MyMapEntry.MyMapEntry",4,1
Public Method,"org.apache.commons.collections.BeanMap.MyMapEntry.setValue",8,1
Public Method,"org.apache.commons.collections.BeanMap.clear",11,3
Public Method,"org.apache.commons.collections.BeanMap.clone",37,7
Public Method,"org.apache.commons.collections.BeanMap.containsKey",4,1
Public Method,"org.apache.commons.collections.BeanMap.containsValue",3,1
Protected Method,"org.apache.commons.collections.BeanMap.convertType",16,3
Protected Method,"org.apache.commons.collections.BeanMap.createWriteMethodArguments",23,6
Public Method,"org.apache.commons.collections.BeanMap.entryIterator",16,1
Anonymous Class,"org.apache.commons.collections.BeanMap.entryIterator.(Anon_11)",12,3
Public Method,"org.apache.commons.collections.BeanMap.entryIterator.(Anon_11).hasNext",3,1
Public Method,"org.apache.commons.collections.BeanMap.entryIterator.(Anon_11).next",5,1
Public Method,"org.apache.commons.collections.BeanMap.entryIterator.(Anon_11).remove",3,1
Public Method,"org.apache.commons.collections.BeanMap.entrySet",10,1
Anonymous Class,"org.apache.commons.collections.BeanMap.entrySet.(Anon_9)",7,2
Public Method,"org.apache.commons.collections.BeanMap.entrySet.(Anon_9).iterator",3,1
Public Method,"org.apache.commons.collections.BeanMap.entrySet.(Anon_9).size",3,1
Protected Method,"org.apache.commons.collections.BeanMap.firePropertyChange",2,1
Public Method,"org.apache.commons.collections.BeanMap.get",23,7
Public Method,"org.apache.commons.collections.BeanMap.getBean",3,1
Public Method,"org.apache.commons.collections.BeanMap.getReadMethod",3,1
Protected Method,"org.apache.commons.collections.BeanMap.getReadMethod",3,1
Public Method,"org.apache.commons.collections.BeanMap.getType",3,1
Protected Method,"org.apache.commons.collections.BeanMap.getTypeTransformer",3,1
Public Method,"org.apache.commons.collections.BeanMap.getWriteMethod",3,1
Protected Method,"org.apache.commons.collections.BeanMap.getWriteMethod",3,1
Private Method,"org.apache.commons.collections.BeanMap.initialise",29,8
